,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
24,-5991.966246600896,-6059.177942178005,-5977.437612704946,-110286.18935181969,-106455.10035218006,-103022.87823234538,-77698.30706099357,-5971.6708626354775,-5934.388152884025,-5978.331682483159,-6074.667701085532,-117027.65429349594,-115478.0078504095,-111867.57527203266,-115770.12279869591,0.033375
25,-5752.936691395842,-6024.219813849904,-5917.914917220463,-110418.310513295,-106387.19575252483,-103064.09484912096,-77709.37117449894,-5960.4055834300025,-5919.054856187685,-5986.355958742614,-6073.728927818409,-117035.61151452202,-115441.82037613635,-111881.94744371742,-115782.70683082425,0.033375
26,-5987.786470387754,-6053.6794130419985,-5973.235484747349,-110284.31180528544,-106454.8768347355,-103021.02303755558,-77695.15546502537,-5961.187894485938,-5922.78759751172,-5962.908978808997,-6053.72411653091,-117029.8224127081,-115447.497719228,-111870.07866741165,-115762.27733639209,0.033375
27,-5759.977490899264,-6025.650325495044,-5919.859518988075,-110412.47670799217,-106386.41344146889,-103061.7255642087,-77707.47127622024,-5967.826362589164,-5929.895452248508,-5999.3199705266925,-6093.644332128088,-117028.05662489613,-115471.43643753964,-111874.72783025836,-115786.59603435946,0.033375
28,-5974.710699881399,-6048.493808328368,-5968.005176544807,-110288.5362849875,-106452.28403237868,-103020.75481662212,-77694.75313362517,-5952.805990315198,-5911.2764491172375,-5950.1908362139275,-6034.680430254988,-117033.68926449887,-115417.03229153542,-111873.4537808244,-115756.19766190025,0.0306875
29,-5771.555694527113,-6026.633802251077,-5922.36291436707,-110400.69733866422,-106387.9110083474,-103055.84705541696,-77705.10199130798,-5973.70487138091,-5940.087847720129,-6009.7135316984095,-6110.5422509363,-117021.39580504845,-115497.27505412998,-111868.06701041067,-115789.6358716054,0.0306875
30,-5959.667975862977,-6047.3985728500575,-5966.351147455114,-110300.31565431543,-106453.80395100164,-103026.34275273595,-77699.26818600514,-5943.686478577433,-5902.380454824025,-5939.350240153103,-6019.101264369639,-117037.10908140053,-115390.43371563361,-111877.92412971547,-115752.66608627631,0.0306875
31,-5792.745148270745,-6032.422904065002,-5930.297783648704,-110390.84021935944,-106395.9129328624,-103054.77417168311,-77706.10781980847,-5982.980845329863,-5954.460019404891,-6022.632839993577,-6129.854158145686,-117019.63001723649,-115525.37119691029,-111866.9494231879,-115796.85548506446,0.0306875
32,-5939.0373157307295,-6045.431619337991,-5962.886627064541,-110315.7830614785,-106452.30638412313,-103033.9646975952,-77703.33620349602,-5938.2773564192485,-5895.496117531791,-5932.331792394137,-6007.388950275058,-117041.8252994806,-115368.14902641166,-111883.31090012919,-115751.3696850979,0.0306875
33,-5822.830596307587,-6040.7601047468315,-5941.518359365268,-110379.1502570093,-106406.59706671204,-103054.10361934944,-77708.45475297628,-5995.52017396929,-5969.390984701036,-6036.222700622404,-6148.294347321314,-117021.70872947082,-115552.10388327885,-111868.22347262186,-115804.72329911272,0.032343750000000004
