,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
22,-6073.013671995839,-6119.795873140797,-6038.256709367837,-5990.334569255659,-109303.27138939756,-106047.20336761515,-102291.95383691238,-77605.2120453372,-6014.787377689765,-5942.814760543676,-6037.452046567446,-6201.156222958115,-115123.44212811496,-112325.85308859982,-110356.93262302074,-111816.97092258584
23,-5871.557399220157,-5903.319228091148,-6007.947743886441,-5936.846844774109,-109423.4790710782,-105987.59126515285,-102328.63304956353,-77617.1702286208,-5996.324836769681,-5917.199661397894,-6031.886462198075,-6179.787955258841,-115136.60730559914,-112263.17879714713,-110374.52344590706,-111824.145832556
24,-6074.600645852166,-6122.321620264247,-6037.362639589624,-5990.558086700212,-109301.43854635222,-106049.2820798495,-102291.05976713417,-77604.54149300355,-6007.411302019514,-5935.014001728774,-6026.454988295435,-6184.682987294554,-115128.35951189513,-112303.34488193333,-110360.86653004486,-111813.52875393972
25,-5868.87518988552,-5900.54761177869,-6007.3665985306025,-5935.505740106791,-109421.06508267703,-105981.95862555012,-102326.44257860692,-77612.25284484064,-6001.532793227768,-5926.6991527914,-6043.084686170183,-6196.79763278933,-115130.41587238501,-112290.38087014925,-110368.42141967076,-111828.92910586944
26,-6073.170134207026,-6119.550003951789,-6037.9437849454625,-5991.18393554496,-109308.00995922208,-106050.35496358335,-102294.12195612455,-77605.50261801513,-6001.063406594206,-5924.55338532369,-6014.966191645407,-6166.063984163283,-115133.70157881995,-112276.81336126488,-110364.08518124642,-111809.10310853757
27,-5882.107422603062,-5913.824547985143,-6014.340342800659,-5942.904167521497,-109418.24876287565,-105985.24433198504,-102325.99554371781,-77614.8679989419,-6017.290773068759,-5943.820589044165,-6062.217779423926,-6221.250441223436,-115133.0757299752,-112325.54016417745,-110368.98021328214,-111840.41790251946
28,-6054.059392697739,-6099.96987580894,-6029.070142396706,-5981.706795895911,-109307.96525573317,-106041.81659720142,-102288.01992988825,-77601.3675452909,-5993.776737901776,-5914.718617763355,-6004.572630473689,-6149.300175821802,-115138.64131434457,-112251.33237258582,-110367.37088768136,-111805.48212593581
29,-5889.863477929053,-5923.681667289933,-6013.848604422642,-5943.865292533075,-109404.39068131337,-105984.08204127337,-102318.44065409192,-77609.86120818391,-6016.217889334905,-5948.268586190771,-6065.950520747962,-6230.7722843613965,-115121.87750600309,-112345.83554814286,-110357.8490445434,-111838.92033564096
30,-6038.949613445951,-6083.518991889834,-6028.824273207698,-5979.784545872753,-109321.66687508428,-106040.40843730074,-102294.7478049693,-77603.80388543653,-5984.903095353019,-5905.532050792223,-5994.983732102362,-6134.324507036747,-115141.52468937931,-112228.04185486339,-110370.34366969392,-111802.86697183455
31,-5912.952829951386,-5947.3745164125585,-6021.604659748633,-5953.051859504207,-109396.25464633164,-105990.74286112105,-102317.7030465249,-77609.72709771719,-6028.980735418884,-5963.467772420379,-6080.657968599555,-6249.927729359595,-115124.55971533773,-112375.22809210159,-110358.92192827725,-111848.30806831218
32,-6020.308258570226,-6062.351889890658,-6028.421941807502,-5976.7223568823765,-109337.93894504773,-106036.09455062087,-102300.11222363857,-77607.29075757155,-5984.836040119653,-5901.374626323536,-5993.061482079206,-6126.613155199666,-115150.17481448351,-112212.35093025576,-110376.93743430823,-111805.25860849126
33,-5935.5727953401565,-5971.782621357754,-6028.109017385128,-5961.724336352866,-109385.39169852635,-105998.1189367913,-102313.97030520086,-77611.17996110678,-6037.072066911705,-5972.810801602698,-6088.257561714359,-6260.343642275768,-115125.76670953831,-112394.04826093296,-110357.87139628785,-111852.37608580304
34,-5997.062444336706,-6037.876729712097,-6026.879671440086,-5972.631987647055,-109354.47923594466,-106031.42303602971,-102305.96838068585,-77611.0682023845,-5983.785508130254,-5900.122928634039,-5993.061482079206,-6122.969820853451,-115156.74622735337,-112202.89614235118,-110383.01710880008,-111808.87959109302
35,-5961.746688097321,-6000.035226349262,-6033.071104654206,-5969.480391678857,-109370.39367799685,-106005.42795722818,-102309.63406677653,-77608.69891747224,-6040.737753002376,-5979.806897617209,-6092.146765249582,-6266.825648167807,-115124.60441882664,-112408.88981925129,-110355.61387009786,-111854.18657710393
36,-5972.028490546762,-6010.0041043763285,-6024.040999894261,-5966.284092221748,-109371.75713440862,-106022.34822778085,-102311.46690982186,-77611.40347855134,-5982.869086607586,-5898.312437333159,-5994.648455935533,-6122.187509797515,-115159.09316052118,-112198.44814520457,-110385.02876580105,-111811.31593123866
37,-5989.507554710813,-6028.690162740965,-6038.323764601203,-5977.415260960492,-109356.7144103902,-106012.44640498715,-102304.98490392983,-77607.313109316,-6046.370392605114,-5983.986673830352,-6094.024311783828,-6268.278511557402,-115128.04658747275,-112415.17065944323,-110356.21736719816,-111855.08064688214
38,-5945.69813557841,-5981.3044644957145,-6020.3976655480465,-5959.220940973872,-109385.54816073754,-106012.33464626488,-102313.23269763384,-77611.98462390716,-5985.081909308661,-5899.139451878006,-5999.632894949066,-6125.987306354918,-115161.1271692666,-112200.63861616119,-110385.67696639025,-111814.64634116249
39,-6013.110996855617,-6054.707593286943,-6041.676526269499,-5983.89726685253,-109340.62115438237,-106020.00129461304,-102298.52524978224,-77605.77083894859,-6044.850473982153,-5983.159659285505,-6089.531611148312,-6262.332947532291,-115128.94065725096,-112411.7284907971,-110354.9433177642,-111852.04080963622
40,-5917.736103264821,-5951.800161814709,-6015.301467812236,-5950.928443780952,-109397.1710678543,-106000.8234978704,-102314.52909881224,-77609.54828376154,-5985.305426753214,-5901.866364701554,-6005.37729327408,-6133.07280934725,-115158.80258784325,-112209.06522382084,-110383.73236462264,-111818.04380631969
41,-6032.422904065002,-6074.935922018996,-6042.682354769988,-5987.585304687656,-109328.01477050959,-106024.53869873748,-102293.38434855752,-77601.3675452909,-6040.558939046734,-5977.839944105142,-6080.277988943814,-6249.704211915042,-115129.99118924036,-112399.07740343541,-110353.87043403035,-111846.67639096695
