1,2,3,4,5,6,7,8,9,10
-120.1629867553711,-141.97828674316406,-119.5371322631836,-148.32618713378906,-149.75669860839844,-142.2465057373047,-147.1638946533203,-133.03758239746094,-0.115234375,1665550536.2051294
-119.71595001220703,-141.26303100585938,-119.09010314941406,-147.52151489257812,-148.77322387695312,-141.4418487548828,-146.00160217285156,-132.5011444091797,-0.11669921875,1665550536.2051373
-119.09010314941406,-140.27955627441406,-118.64306640625,-146.98507690429688,-148.05796813964844,-140.5477752685547,-144.8393096923828,-131.785888671875,-0.115234375,1665550536.2051446
-118.8218765258789,-139.83251953125,-118.10662078857422,-146.2698211669922,-147.43211364746094,-139.7431182861328,-144.30287170410156,-131.24945068359375,-0.116943359375,1665550536.2051523
-118.46424865722656,-139.4748992919922,-117.48077392578125,-145.5545654296875,-146.5380401611328,-139.2066650390625,-143.22998046875,-130.8024139404297,-0.1162109375,1665550536.2051606
-117.92781066894531,-138.93844604492188,-117.21255493164062,-145.01812744140625,-145.5545654296875,-138.67022705078125,-142.33592224121094,-130.26597595214844,-0.117431640625,1665550536.2281888
-117.57018280029297,-138.0443878173828,-116.58670806884766,-144.39227294921875,-145.01812744140625,-137.59735107421875,-141.4418487548828,-129.64012145996094,-0.116943359375,1665550536.2481823
-117.21255493164062,-137.59735107421875,-116.3184814453125,-143.67701721191406,-144.39227294921875,-137.1503143310547,-140.72659301757812,-129.0142822265625,-0.1162109375,1665550536.3012455
-116.76551818847656,-137.59735107421875,-115.87145233154297,-143.31939697265625,-143.58761596679688,-136.88209533691406,-140.01133728027344,-128.4778289794922,-0.11279296875,1665550536.3012836
-116.67610931396484,-136.88209533691406,-115.4244155883789,-142.96176147460938,-142.96176147460938,-135.98802185058594,-139.29608154296875,-128.20960998535156,-0.115234375,1665550536.3012986
-116.40789031982422,-136.34564208984375,-115.24559783935547,-142.5147247314453,-142.60414123535156,-135.27276611328125,-138.7596435546875,-127.76258087158203,-0.115966796875,1665550536.3013108
-115.96085357666016,-135.8986053466797,-114.97737884521484,-142.1571044921875,-141.97828674316406,-134.8257293701172,-138.40200805664062,-127.13672637939453,-0.115478515625,1665550536.3013225
-115.69263458251953,-135.4515838623047,-114.44093322753906,-141.53125,-141.62066650390625,-134.28929138183594,-137.77615356445312,-126.60028839111328,-0.115234375,1665550536.3013341
-115.51382446289062,-135.00454711914062,-114.17271423339844,-141.1736297607422,-141.08421325683594,-133.84225463867188,-137.32913208007812,-126.33206939697266,-0.116943359375,1665550536.3013463
-115.4244155883789,-134.55751037597656,-114.08330535888672,-140.5477752685547,-140.5477752685547,-133.30581665039062,-136.7926788330078,-125.79562377929688,-0.11572265625,1665550536.3293507
