Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Color Code,Frequency
2022-02-27 14:42:47.795,13451.011592270326,6566.92016922476,32839.585285137335,32811.17621793463,59381.499514758536,32285.23967090126,10296.46519380393,18431.06966389056,,7.0
2022-02-27 14:41:27.577,11973.158952374337,6627.202824020723,36009.46498030007,33347.819250562105,60914.1809838034,35078.89480339227,9848.647993641853,17815.569676824773,,14.0
2022-02-27 14:43:55.762,18159.943003647688,6123.662724931565,32048.467641886196,30821.893313156765,64893.08206952597,29802.497303783573,10481.0235477714,19009.644569116183,,9.0
2022-02-27 14:44:28.433,17447.25763169022,5802.915191997909,31229.70089074384,32086.48795920467,64716.70445402914,29583.51726335493,10542.624955490226,19223.86368797585,,11.0
2022-02-27 14:41:32.798,12043.701057875283,6627.091065298447,35787.78037879233,33235.92641781884,60712.83646974999,34803.32014600279,9871.111496819436,17856.808645344812,,12.0
2022-02-27 14:44:51.467,19107.74637553053,5709.328437963538,30742.70108255161,31062.375731751414,62677.66656609376,29535.23749533147,10747.948080056678,19435.914687623343,,6.0
2022-02-27 14:44:52.879,20250.926345697208,5503.915906419266,30326.57865602716,30749.116033210285,65469.44415205052,29492.43390469956,10761.672051152236,19452.70084770928,,6.0
2022-02-27 14:42:46.123,13248.102456105047,6523.557784981464,32822.173276206646,32982.56939441793,59483.423469474736,32323.68467136439,10299.862658961138,18451.253289133703,,7.0
2022-02-27 14:44:05.611,16778.113457931693,6102.406215954568,32027.993443965133,31076.05499935806,64101.11505998553,29763.4264544757,10424.808910466303,19072.430619291143,,18.0
2022-02-27 14:42:19.734,13212.85375509903,6853.693050586349,34066.763110967055,33862.46816664555,60466.81081853042,33673.9982573984,10058.575577566096,18195.348166864893,,20.0
2022-02-27 14:42:40.082,13339.342276971613,6518.975677368126,33067.21545067018,33759.42662470658,60388.31149200338,32482.62792618608,10265.955062622435,18372.329279462014,,11.0
2022-02-27 14:43:31.216,16311.163164515874,6209.962810273506,32642.733471719443,31694.348954480763,65164.05226755766,30675.377628252227,10319.867470248637,18841.246526389903,,7.0
