0,1,2,3,4,5,6,7,8
-23340.498046875,232584.21875,-42267.77734375,-117013.53125,148424.625,-25218.759765625,159749.359375,256648.46875,1665552222.1633756
-39805.6875,3392.011474609375,-10182.650390625,-858.038818359375,-5319.17919921875,15.467408180236816,270.9925537109375,522.3156127929688,1665552222.188419
-25071.326171875,0.0,-8068.44384765625,0.0,-4703.5224609375,-1139.1343994140625,11.891128540039062,-3025.353515625,1665552222.2134016
-1229.8824462890625,0.0,-5808.9501953125,0.0,-3761.351806640625,-3231.972900390625,157.62451171875,-4393.7275390625,1665552222.2643533
-2982.88525390625,0.0,-4332.84130859375,0.08940698206424713,-3078.01416015625,-3600.95556640625,744.044921875,-3653.169189453125,1665552222.2908816
-3248.15576171875,0.0,-3383.696533203125,113.90449523925781,-2576.08349609375,-3054.052978515625,1446.4261474609375,-2900.72021484375,1665552222.316083
-2625.078369140625,0.0,-2622.574951171875,-689.3278198242188,-2109.915283203125,-2507.955322265625,-804.1264038085938,-2269.864501953125,1665552222.3408544
-2055.10888671875,0.0,-1844.6448974609375,-2022.475341796875,-1760.691650390625,-2077.460693359375,-2043.30712890625,-1815.3193359375,1665552222.36593
-1587.5103759765625,0.08940698206424713,-1545.0421142578125,-1719.47509765625,-1477.8079833984375,-1674.235107421875,-1851.79736328125,-1450.2706298828125,1665552222.3909168
-1200.378173828125,106.12609100341797,-1187.771728515625,-1337.0814208984375,-1201.0933837890625,-1252.50244140625,-1550.406494140625,-1114.9945068359375,1665552222.4160457
-924.6470336914062,-54.18062973022461,-885.9337768554688,-979.0064697265625,-954.9559936523438,-877.7083129882812,-1286.030029296875,-799.3878173828125,1665552222.4408212
-798.0466918945312,-675.6485595703125,-690.311279296875,-737.5181884765625,-789.7318725585938,-627.2793579101562,-1146.108154296875,-547.885986328125,1665552222.4659467
-819.8619995117188,-740.8262329101562,-598.758544921875,-642.5679931640625,-709.5338134765625,-498.8015441894531,-1123.75634765625,-356.1974182128906,1665552222.4908147
-1000.1959228515625,-925.2728271484375,-639.3493041992188,-720.6203002929688,-721.3355102539062,-473.320556640625,-1211.375244140625,-207.3347930908203,1665552222.5159502
-1264.3935546875,-1151.74072265625,-789.1954345703125,-888.526611328125,-747.5317993164062,-563.174560546875,-1365.1551513671875,-52.750118255615234,1665552222.5408196
-1012.712890625,-876.9931030273438,-761.479248046875,-769.2576904296875,-557.8101806640625,-441.84930419921875,-1053.5718994140625,4.470349311828613,1665552222.5659473
-589.2814331054688,-786.5132446289062,-446.31964111328125,-616.6399536132812,-497.2816467285156,-318.199462890625,-609.8450317382812,-57.30987548828125,1665552222.5908167
-488.87738037109375,-494.15240478515625,-365.8533630371094,-419.8551940917969,-353.69403076171875,-282.2578430175781,-341.44525146484375,-104.42735290527344,1665552222.61594
-241.22003173828125,-296.0265197753906,-234.335693359375,-265.8963623046875,-303.9837341308594,-274.56884765625,-279.4862365722656,-218.8682861328125,1665552222.6434216
-179.08218383789062,-254.3628692626953,-188.11228942871094,-240.86241149902344,-259.63787841796875,-234.2462921142578,-267.2374572753906,-226.64669799804688,1665552222.668311
-171.4825897216797,-224.76914978027344,-180.95973205566406,-230.13357543945312,-240.68359375,-232.10052490234375,-258.6543884277344,-217.8848114013672,1665552222.6933033
-167.01223754882812,-214.21913146972656,-175.86354064941406,-222.35516357421875,-234.06747436523438,-228.07720947265625,-250.25013732910156,-210.10641479492188,1665552222.7183373
-163.7041778564453,-207.78182983398438,-171.3931884765625,-216.4542999267578,-227.8983917236328,-221.8187255859375,-242.82936096191406,-203.75851440429688,1665552222.7434328
