0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
103897.7109375,112796.1171875,172571.390625,130248.625,83950.203125,114005.796875,75380.4609375,92748.1171875,0.010009765625,-0.876708984375,-0.39306640625,-1.7700194120407104,1.1596678495407104,4.211425304412842,80.0,6003.0,1.0,1665718939.5135772
103849.0703125,112747.03125,172752.890625,130241.296875,83944.125,113999.359375,75363.203125,92741.328125,0.007080078125,-0.87939453125,-0.3955078125,-1.5869139432907104,0.9460448622703552,4.364013195037842,80.0,6004.0,1.0,1665718939.5166595
103766.1015625,112662.8125,172369.421875,130239.2421875,83525.8828125,113580.125,75334.4140625,92737.2109375,0.003173828125,-0.879638671875,-0.393310546875,-1.4343260526657104,0.7324218153953552,4.547118663787842,80.0,6005.0,1.0,1665718939.5166907
103790.6875,112688.203125,172074.375,130243.265625,83424.2265625,113478.5625,75342.90625,92741.7734375,-0.001708984375,-0.8798828125,-0.39599609375,-1.3122557401657104,0.4272460639476776,4.547118663787842,80.0,6006.0,1.0,1665718939.535954
103890.109375,112789.234375,172432.625,130245.6796875,83864.734375,113919.3359375,75380.1875,92745.4375,-0.005615234375,-0.879638671875,-0.3955078125,-1.1901854276657104,0.1220703050494194,4.760741710662842,80.0,6007.0,1.0,1665718939.5359862
103859.265625,112757.3125,172720.78125,130239.0625,83983.015625,114037.890625,75367.4921875,92744.1875,-0.010009765625,-0.880126953125,-0.3984375,-1.0070799589157104,-0.2441406100988388,4.730224132537842,80.0,6008.0,1.0,1665718939.5359995
103786.21875,112683.015625,172424.046875,130252.828125,83607.6875,113662.203125,75343.625,92757.1484375,-0.015869140625,-0.880126953125,-0.399658203125,-0.6713866591453552,-0.6713866591453552,4.821776866912842,80.0,6009.0,1.0,1665718939.5387025
103789.171875,112686.4140625,172063.734375,130261.0546875,83414.5703125,113469.0859375,75342.1875,92765.375,-0.019287109375,-0.884033203125,-0.397705078125,-0.4882812201976776,-1.0070799589157104,4.821776866912842,80.0,6010.0,1.0,1665718939.5411556
103894.84375,112793.2578125,172332.140625,130267.1328125,83807.8671875,113863.1875,75376.4375,92770.6484375,-0.0234375,-0.887939453125,-0.398681640625,-0.3662109076976776,-1.4038084745407104,4.821776866912842,80.0,6011.0,1.0,1665718939.543584
103895.4765625,112793.8828125,172709.171875,130268.8359375,84047.03125,114102.6171875,75377.4140625,92773.8671875,-0.025634765625,-0.888427734375,-0.4013671875,-0.1525878757238388,-1.8310545682907104,4.791259288787842,80.0,6012.0,1.0,1665718939.5460124
103801.5078125,112699.203125,172487.078125,130259.7109375,83710.0546875,113765.2890625,75347.6484375,92770.921875,-0.03076171875,-0.889404296875,-0.4033203125,0.03051757626235485,-2.258300542831421,4.638671398162842,80.0,6013.0,1.0,1665718939.5485756
103771.640625,112668.7109375,172069.8125,130256.046875,83417.4296875,113472.390625,75338.1640625,92769.7578125,-0.033935546875,-0.8916015625,-0.4072265625,0.2746581733226776,-2.716064214706421,4.486083507537842,80.0,6014.0,1.0,1665718939.5511303
103864.4453125,112762.859375,172211.796875,130258.90625,83719.359375,113774.140625,75366.421875,92773.0625,-0.037109375,-0.892578125,-0.40576171875,0.5187987685203552,-3.173827886581421,4.241942882537842,80.0,6015.0,1.0,1665718939.5610452
103889.75,112788.0703125,172646.671875,130254.53125,84039.5234375,114095.0234375,75371.3359375,92767.703125,-0.038330078125,-0.893798828125,-0.40673828125,0.7934569716453552,-3.509521245956421,3.936767339706421,80.0,6016.0,1.0,1665718939.5897508
103809.015625,112706.6171875,172530.53125,130262.21875,83778.9921875,113834.84375,75345.140625,92772.3515625,-0.04052734375,-0.893798828125,-0.40234375,1.1596678495407104,-3.875732183456421,3.570556402206421,80.0,6017.0,1.0,1665718939.5897784
103760.3828125,112657.1796875,172088.234375,130256.140625,83422.9765625,113478.109375,75326.0078125,92769.0390625,-0.04150390625,-0.894287109375,-0.398681640625,1.3427733182907104,-4.119872570037842,3.173827886581421,80.0,6018.0,1.0,1665718939.5897868
103841.0234375,112739.078125,172110.140625,130257.8359375,83624.765625,113680.53125,75352.4765625,92769.671875,-0.04150390625,-0.892578125,-0.3974609375,1.6174315214157104,-4.333495616912842,2.685546636581421,80.0,6019.0,1.0,1665718939.5897946
103904.59375,112803.359375,172595.171875,130264.09375,84036.5703125,114093.140625,75378.8515625,92781.0234375,-0.04052734375,-0.889892578125,-0.399658203125,1.8615721464157104,-4.486083507537842,2.197265386581421,80.0,6020.0,1.0,1665718939.5898015
103838.609375,112736.2109375,172584.4375,130272.765625,83858.1171875,113914.328125,75363.109375,92781.0234375,-0.03759765625,-0.8876953125,-0.398681640625,2.044677495956421,-4.638671398162842,1.7395018339157104,80.0,6021.0,1.0,1665718939.5898104
103783.359375,112680.78125,172145.90625,130268.7421875,83464.8125,113520.578125,75346.484375,92773.0625,-0.03857421875,-0.8857421875,-0.398193359375,2.410888433456421,-4.638671398162842,1.1291502714157104,80.0,6022.0,1.0,1665718939.5900233
103825.5546875,112723.515625,172043.171875,130255.515625,83549.3046875,113604.625,75356.140625,92765.9140625,-0.037841796875,-0.885009765625,-0.389892578125,2.685546636581421,-4.669188976287842,0.5493163466453552,80.0,6023.0,1.0,1665718939.5900474
103897.3515625,112796.03125,172508.890625,130250.1484375,83987.3984375,114043.8828125,75383.5859375,92761.890625,-0.03515625,-0.8798828125,-0.3798828125,2.655029058456421,-4.791259288787842,0.0610351525247097,80.0,6024.0,1.0,1665718939.5923345
